Ad Title,Brand,Platform,Date of Release,View Count,Celebrity Featured,Ad Copy / Script,Ad Link,Source
Telekom Werbespot 1992,Telekom,TV,2023-01-10,4041966,,Saturn macht Technik zum Erlebnis!,http://www.lehmann.org/,Deutscher Mediapreis
Saturn Werbespot 2015,Saturn,YouTube,2023-09-14,4946453,Helene Fischer,Erlebe Luxus auf vier Rädern – Mercedes-Benz.,http://jopich.de/,Deutscher Mediapreis
Mercedes-Benz Werbespot 1977,Mercedes-Benz,Instagram,2023-09-25,6201135,Florian David Fitz,Saturn macht Technik zum Erlebnis!,http://bloch.de/,W&V
Telekom Werbespot 2012,Telekom,TikTok,2024-07-14,5912401,Palina Rojinski,Saturn macht Technik zum Erlebnis!,https://www.hethur.com/,W&V
Nike Werbespot 1989,Nike,Instagram,2024-01-09,2034269,,Erlebe Luxus auf vier Rädern – Mercedes-Benz.,https://www.schueler.net/,W&V
Lidl Werbespot 2018,Lidl,TikTok,2021-08-23,3223524,Elyas M'Barek,Erlebe Luxus auf vier Rädern – Mercedes-Benz.,https://www.lange.com/,Deutscher Mediapreis
Nike Werbespot 1985,Nike,TikTok,2021-04-05,4757930,,Jetzt bei Lidl: Qualität zum besten Preis!,https://www.fliegner.de/,Meta Ads Library
Nike Werbespot 2018,Nike,Facebook,2022-10-11,3020529,Palina Rojinski,Mach dich bereit – mit der neuen Nike Performance-Kollektion.,https://muehle.com/,YouTube Leaderboard
McDonald's Werbespot 1996,McDonald's,Facebook,2021-12-01,773626,Joko Winterscheidt,"Entdecke die Vielfalt mit Edeka – frisch, regional, genial.",http://www.wulf.org/,W&V
Volkswagen Werbespot 1970,Volkswagen,TV,2022-09-13,215779,Helene Fischer,Mach es zu deinem Projekt – mit Hornbach.,https://meister.de/,W&V
Saturn Werbespot 1993,Saturn,TV,2023-02-14,5726097,Lena Meyer-Landrut,Fahr in die Zukunft mit dem neuen ID.4 von Volkswagen.,https://graf.de/,YouTube Leaderboard
Nike Werbespot 1985,Nike,TV,2023-10-16,1106280,Helene Fischer,"Telekom – Erleben, was verbindet.",http://muelichen.de/,Deutscher Mediapreis
Lidl Werbespot 1996,Lidl,TikTok,2021-08-03,2555556,Manuel Neuer,Fahr in die Zukunft mit dem neuen ID.4 von Volkswagen.,https://www.paertzelt.de/,W&V
Lidl Werbespot 1976,Lidl,Facebook,2024-01-15,9372911,Helene Fischer,"Telekom – Erleben, was verbindet.",http://van.de/,Meta Ads Library
McDonald's Werbespot 2014,McDonald's,TV,2021-08-10,7437625,Lena Meyer-Landrut,Mach dich bereit – mit der neuen Nike Performance-Kollektion.,http://kambs.de/,Deutscher Mediapreis
Nike Werbespot 2014,Nike,TikTok,2020-12-23,1020496,Florian David Fitz,Mach es zu deinem Projekt – mit Hornbach.,https://schottin.de/,YouTube Leaderboard
Mercedes-Benz Werbespot 2006,Mercedes-Benz,Facebook,2020-08-07,1372099,Joko Winterscheidt,Fahr in die Zukunft mit dem neuen ID.4 von Volkswagen.,http://www.stroh.org/,Meta Ads Library
Volkswagen Werbespot 1985,Volkswagen,TikTok,2021-01-23,2636181,Helene Fischer,"Entdecke die Vielfalt mit Edeka – frisch, regional, genial.",https://www.trommler.com/,Deutscher Mediapreis
Saturn Werbespot 2000,Saturn,TikTok,2021-09-16,4896520,Lena Meyer-Landrut,"Entdecke die Vielfalt mit Edeka – frisch, regional, genial.",https://www.junk.com/,Meta Ads Library
Nike Werbespot 1989,Nike,Instagram,2023-05-06,1204198,Lena Meyer-Landrut,Erlebe Luxus auf vier Rädern – Mercedes-Benz.,https://henschel.de/,W&V
Hornbach Werbespot 2008,Hornbach,Facebook,2021-10-29,1935626,,McDonald's – Ich liebe es.,http://www.schmidtke.net/,Meta Ads Library
Volkswagen Werbespot 2003,Volkswagen,Instagram,2025-04-03,1208058,Elyas M'Barek,"Entdecke die Vielfalt mit Edeka – frisch, regional, genial.",http://www.schwital.org/,Meta Ads Library
Nike Werbespot 2015,Nike,TikTok,2020-05-17,4852082,Florian David Fitz,Saturn macht Technik zum Erlebnis!,https://rogge.com/,YouTube Leaderboard
Saturn Werbespot 1975,Saturn,Instagram,2024-01-20,4577533,,McDonald's – Ich liebe es.,https://loos.org/,Deutscher Mediapreis
Saturn Werbespot 2001,Saturn,YouTube,2022-11-12,678752,Florian David Fitz,"Telekom – Erleben, was verbindet.",http://doering.de/,W&V
Hornbach Werbespot 2009,Hornbach,Instagram,2022-10-24,1542210,Manuel Neuer,Erlebe Luxus auf vier Rädern – Mercedes-Benz.,https://www.kruschwitz.org/,YouTube Leaderboard
Nike Werbespot 1970,Nike,TikTok,2025-02-09,2949212,Manuel Neuer,Saturn macht Technik zum Erlebnis!,http://zahn.de/,Deutscher Mediapreis
Nike Werbespot 1984,Nike,Facebook,2021-11-29,7322936,Florian David Fitz,Saturn macht Technik zum Erlebnis!,https://www.dietz.com/,YouTube Leaderboard
Saturn Werbespot 1991,Saturn,Instagram,2024-01-17,5601986,,Dein Style. Deine Regeln. Adidas Originals.,http://eigenwillig.com/,YouTube Leaderboard
Volkswagen Werbespot 1990,Volkswagen,Instagram,2023-01-28,8322590,,Mach dich bereit – mit der neuen Nike Performance-Kollektion.,https://www.eigenwillig.de/,Deutscher Mediapreis
McDonald's Werbespot 2006,McDonald's,YouTube,2024-07-25,1487398,Lena Meyer-Landrut,Dein Style. Deine Regeln. Adidas Originals.,https://www.nette.de/,W&V
Adidas Werbespot 2024,Adidas,YouTube,2021-04-10,8643492,,"Entdecke die Vielfalt mit Edeka – frisch, regional, genial.",https://www.werner.de/,Deutscher Mediapreis
Telekom Werbespot 2024,Telekom,YouTube,2025-01-13,8707969,,Dein Style. Deine Regeln. Adidas Originals.,https://www.austermuehle.com/,Deutscher Mediapreis
Saturn Werbespot 2000,Saturn,YouTube,2023-06-07,4490460,,McDonald's – Ich liebe es.,https://koehler.com/,Meta Ads Library
Nike Werbespot 2015,Nike,TV,2022-04-14,2047191,Lena Meyer-Landrut,"Entdecke die Vielfalt mit Edeka – frisch, regional, genial.",https://www.rose.de/,Meta Ads Library
Volkswagen Werbespot 2011,Volkswagen,Instagram,2022-03-06,239419,,McDonald's – Ich liebe es.,http://jacobi.de/,Deutscher Mediapreis
Lidl Werbespot 1977,Lidl,Facebook,2021-06-26,7751810,Helene Fischer,Jetzt bei Lidl: Qualität zum besten Preis!,http://www.oderwald.net/,Meta Ads Library
Saturn Werbespot 2006,Saturn,Instagram,2021-06-13,4597308,,"Telekom – Erleben, was verbindet.",https://steinberg.de/,Deutscher Mediapreis
Saturn Werbespot 2009,Saturn,Facebook,2021-08-11,9258693,Lena Meyer-Landrut,Fahr in die Zukunft mit dem neuen ID.4 von Volkswagen.,https://www.schoenland.com/,Deutscher Mediapreis
Mercedes-Benz Werbespot 2016,Mercedes-Benz,TikTok,2023-06-13,2300229,,Jetzt bei Lidl: Qualität zum besten Preis!,http://heinz.de/,W&V
Telekom Werbespot 2007,Telekom,Instagram,2023-05-07,4492413,,"Entdecke die Vielfalt mit Edeka – frisch, regional, genial.",http://grein.com/,W&V
Nike Werbespot 2015,Nike,TikTok,2022-02-05,8224801,Florian David Fitz,Fahr in die Zukunft mit dem neuen ID.4 von Volkswagen.,http://www.henk.net/,Deutscher Mediapreis
McDonald's Werbespot 1974,McDonald's,TV,2025-01-03,5587416,Palina Rojinski,McDonald's – Ich liebe es.,http://www.juettner.com/,Deutscher Mediapreis
Saturn Werbespot 2023,Saturn,Instagram,2020-04-26,4016492,,Mach es zu deinem Projekt – mit Hornbach.,https://www.riehl.com/,Deutscher Mediapreis
Mercedes-Benz Werbespot 1977,Mercedes-Benz,TV,2020-07-07,5348112,Manuel Neuer,Saturn macht Technik zum Erlebnis!,http://www.zorbach.de/,Deutscher Mediapreis
Telekom Werbespot 1971,Telekom,Facebook,2021-10-11,631086,Lena Meyer-Landrut,Fahr in die Zukunft mit dem neuen ID.4 von Volkswagen.,https://www.weinhage.com/,W&V
Lidl Werbespot 2020,Lidl,TV,2020-11-01,8833994,Helene Fischer,Saturn macht Technik zum Erlebnis!,https://pieper.de/,YouTube Leaderboard
Volkswagen Werbespot 2004,Volkswagen,TV,2022-03-07,1265409,Elyas M'Barek,Saturn macht Technik zum Erlebnis!,http://seidel.de/,W&V
Adidas Werbespot 1997,Adidas,TikTok,2023-12-03,1357467,,Dein Style. Deine Regeln. Adidas Originals.,http://matthaei.com/,Deutscher Mediapreis
Adidas Werbespot 1975,Adidas,TV,2023-01-13,612286,,Mach es zu deinem Projekt – mit Hornbach.,http://www.hoefig.de/,YouTube Leaderboard
Mercedes-Benz Werbespot 1995,Mercedes-Benz,Instagram,2024-10-22,1526313,,"Telekom – Erleben, was verbindet.",https://auch.de/,YouTube Leaderboard
Lidl Werbespot 1976,Lidl,TV,2021-04-08,5034207,Elyas M'Barek,"Entdecke die Vielfalt mit Edeka – frisch, regional, genial.",http://heidrich.de/,YouTube Leaderboard
Adidas Werbespot 1997,Adidas,YouTube,2023-11-01,6024016,Joko Winterscheidt,Dein Style. Deine Regeln. Adidas Originals.,http://johann.de/,Deutscher Mediapreis
Volkswagen Werbespot 1980,Volkswagen,Facebook,2024-04-30,6923081,,Mach es zu deinem Projekt – mit Hornbach.,http://www.davids.com/,Meta Ads Library
Volkswagen Werbespot 2020,Volkswagen,Facebook,2023-06-19,6428028,Helene Fischer,Mach es zu deinem Projekt – mit Hornbach.,http://www.rose.de/,Meta Ads Library
Saturn Werbespot 2015,Saturn,TikTok,2021-05-02,3905475,Elyas M'Barek,Saturn macht Technik zum Erlebnis!,https://wende.de/,W&V
Saturn Werbespot 2019,Saturn,Instagram,2020-09-24,7815654,Manuel Neuer,Mach dich bereit – mit der neuen Nike Performance-Kollektion.,https://doehn.net/,Meta Ads Library
Lidl Werbespot 1980,Lidl,TV,2024-05-25,9867817,Palina Rojinski,Mach dich bereit – mit der neuen Nike Performance-Kollektion.,http://www.roht.org/,Deutscher Mediapreis
Nike Werbespot 2009,Nike,TV,2022-03-21,3352306,Joko Winterscheidt,"Telekom – Erleben, was verbindet.",https://www.sorgatz.org/,Deutscher Mediapreis
Lidl Werbespot 1971,Lidl,Facebook,2021-10-30,9605270,,Dein Style. Deine Regeln. Adidas Originals.,https://killer.com/,W&V
Nike Werbespot 2008,Nike,YouTube,2023-09-15,4615016,,"Entdecke die Vielfalt mit Edeka – frisch, regional, genial.",http://www.schuster.com/,YouTube Leaderboard
Hornbach Werbespot 1976,Hornbach,TV,2024-10-22,3870745,Joko Winterscheidt,Mach es zu deinem Projekt – mit Hornbach.,http://meyer.de/,W&V
Mercedes-Benz Werbespot 1991,Mercedes-Benz,Facebook,2023-01-20,4214819,Florian David Fitz,Fahr in die Zukunft mit dem neuen ID.4 von Volkswagen.,http://www.franke.com/,YouTube Leaderboard
Edeka Werbespot 2015,Edeka,Instagram,2020-12-27,569763,Lena Meyer-Landrut,Mach es zu deinem Projekt – mit Hornbach.,https://loos.de/,W&V
Volkswagen Werbespot 2011,Volkswagen,YouTube,2024-01-21,5491437,Joko Winterscheidt,"Telekom – Erleben, was verbindet.",https://werner.com/,Meta Ads Library
Mercedes-Benz Werbespot 1993,Mercedes-Benz,Facebook,2023-12-14,6148070,,McDonald's – Ich liebe es.,http://stoll.de/,W&V
Volkswagen Werbespot 2005,Volkswagen,Instagram,2022-12-02,4961651,Lena Meyer-Landrut,Dein Style. Deine Regeln. Adidas Originals.,http://www.schinke.net/,YouTube Leaderboard
Saturn Werbespot 1990,Saturn,YouTube,2022-02-03,3795186,Elyas M'Barek,"Telekom – Erleben, was verbindet.",http://junken.de/,W&V
Lidl Werbespot 2020,Lidl,TV,2023-12-16,4446878,Manuel Neuer,McDonald's – Ich liebe es.,http://www.reinhardt.de/,YouTube Leaderboard
Saturn Werbespot 1974,Saturn,Instagram,2023-09-03,9817290,Joko Winterscheidt,"Telekom – Erleben, was verbindet.",http://misicher.de/,W&V
Lidl Werbespot 2009,Lidl,Facebook,2023-12-12,429843,Lena Meyer-Landrut,Mach es zu deinem Projekt – mit Hornbach.,https://drewes.de/,W&V
Hornbach Werbespot 1981,Hornbach,Facebook,2024-03-17,7799116,Helene Fischer,Mach dich bereit – mit der neuen Nike Performance-Kollektion.,https://www.doering.de/,Deutscher Mediapreis
Lidl Werbespot 2005,Lidl,Facebook,2020-12-18,634315,Manuel Neuer,Mach dich bereit – mit der neuen Nike Performance-Kollektion.,https://kambs.net/,Deutscher Mediapreis
Lidl Werbespot 1992,Lidl,YouTube,2021-09-22,9028535,,Fahr in die Zukunft mit dem neuen ID.4 von Volkswagen.,http://www.peukert.net/,Deutscher Mediapreis
Saturn Werbespot 2022,Saturn,Instagram,2023-04-08,7041780,,Mach es zu deinem Projekt – mit Hornbach.,https://www.dobes.org/,Meta Ads Library
Telekom Werbespot 1983,Telekom,YouTube,2021-10-09,6857048,Lena Meyer-Landrut,Mach dich bereit – mit der neuen Nike Performance-Kollektion.,http://www.wulf.de/,YouTube Leaderboard
Adidas Werbespot 2001,Adidas,Facebook,2025-02-02,7470758,Lena Meyer-Landrut,Erlebe Luxus auf vier Rädern – Mercedes-Benz.,https://jopich.com/,W&V
Lidl Werbespot 1999,Lidl,Instagram,2020-11-16,6027548,,"Entdecke die Vielfalt mit Edeka – frisch, regional, genial.",https://jaehn.org/,Deutscher Mediapreis
Nike Werbespot 2010,Nike,Facebook,2020-10-09,7638891,Helene Fischer,Jetzt bei Lidl: Qualität zum besten Preis!,https://www.mitschke.com/,Meta Ads Library
Hornbach Werbespot 1995,Hornbach,YouTube,2022-09-26,5605355,Manuel Neuer,Erlebe Luxus auf vier Rädern – Mercedes-Benz.,http://www.schenk.de/,Meta Ads Library
Hornbach Werbespot 2001,Hornbach,Facebook,2025-03-26,9308063,Helene Fischer,Erlebe Luxus auf vier Rädern – Mercedes-Benz.,http://soeding.net/,Meta Ads Library
Mercedes-Benz Werbespot 1991,Mercedes-Benz,Instagram,2024-05-04,57572,Elyas M'Barek,Mach dich bereit – mit der neuen Nike Performance-Kollektion.,http://www.dobes.com/,Meta Ads Library
Volkswagen Werbespot 2004,Volkswagen,TikTok,2021-10-06,2937575,Joko Winterscheidt,Jetzt bei Lidl: Qualität zum besten Preis!,http://www.mans.de/,YouTube Leaderboard
Volkswagen Werbespot 2005,Volkswagen,YouTube,2024-09-28,4001829,Palina Rojinski,Mach es zu deinem Projekt – mit Hornbach.,http://holzapfel.de/,W&V
Edeka Werbespot 2016,Edeka,Facebook,2020-09-27,889109,Joko Winterscheidt,Fahr in die Zukunft mit dem neuen ID.4 von Volkswagen.,https://www.dehmel.de/,Deutscher Mediapreis
McDonald's Werbespot 1989,McDonald's,YouTube,2022-06-09,8000081,Helene Fischer,Saturn macht Technik zum Erlebnis!,http://sauer.com/,W&V
McDonald's Werbespot 1993,McDonald's,TikTok,2022-12-07,7593392,Helene Fischer,McDonald's – Ich liebe es.,https://www.trub.com/,Meta Ads Library
Hornbach Werbespot 1991,Hornbach,YouTube,2025-01-18,5070517,,Saturn macht Technik zum Erlebnis!,https://steinberg.com/,YouTube Leaderboard
Edeka Werbespot 2013,Edeka,TV,2023-11-24,7161684,,Jetzt bei Lidl: Qualität zum besten Preis!,https://www.jessel.de/,Deutscher Mediapreis
Saturn Werbespot 2022,Saturn,YouTube,2024-06-06,5414139,Helene Fischer,Mach es zu deinem Projekt – mit Hornbach.,http://www.foerster.org/,Meta Ads Library
Lidl Werbespot 2023,Lidl,Facebook,2021-02-26,9830789,Joko Winterscheidt,McDonald's – Ich liebe es.,http://eigenwillig.de/,W&V
Telekom Werbespot 1980,Telekom,TikTok,2021-09-04,4957563,,Saturn macht Technik zum Erlebnis!,http://www.mans.com/,Deutscher Mediapreis
Lidl Werbespot 1997,Lidl,YouTube,2023-05-24,3617488,,"Telekom – Erleben, was verbindet.",http://hoelzenbecher.de/,Deutscher Mediapreis
Mercedes-Benz Werbespot 1985,Mercedes-Benz,TV,2024-11-02,7618449,Palina Rojinski,"Telekom – Erleben, was verbindet.",http://gude.de/,Deutscher Mediapreis
Lidl Werbespot 2001,Lidl,Instagram,2022-09-10,5253275,,Mach dich bereit – mit der neuen Nike Performance-Kollektion.,https://gute.com/,W&V
Volkswagen Werbespot 1987,Volkswagen,TV,2020-09-27,1540497,Helene Fischer,Jetzt bei Lidl: Qualität zum besten Preis!,https://dobes.com/,YouTube Leaderboard
Telekom Werbespot 1989,Telekom,YouTube,2021-01-03,2192975,Palina Rojinski,McDonald's – Ich liebe es.,http://pieper.com/,YouTube Leaderboard
Hornbach Werbespot 1985,Hornbach,TikTok,2024-02-18,5540541,,Jetzt bei Lidl: Qualität zum besten Preis!,https://www.bloch.de/,Deutscher Mediapreis
Adidas Werbespot 1986,Adidas,TV,2023-07-31,4835620,Manuel Neuer,Mach es zu deinem Projekt – mit Hornbach.,http://baum.com/,W&V
Adidas Werbespot 2018,Adidas,YouTube,2023-02-23,8522969,Florian David Fitz,Erlebe Luxus auf vier Rädern – Mercedes-Benz.,http://www.hoerle.com/,Meta Ads Library
Saturn Werbespot 2021,Saturn,Facebook,2024-04-14,5883938,Helene Fischer,McDonald's – Ich liebe es.,https://www.baehr.net/,W&V
Lidl Werbespot 1980,Lidl,Instagram,2024-12-18,3804319,Florian David Fitz,"Telekom – Erleben, was verbindet.",https://www.hellwig.com/,YouTube Leaderboard
Hornbach Werbespot 1986,Hornbach,Instagram,2023-11-13,3036879,Manuel Neuer,Mach dich bereit – mit der neuen Nike Performance-Kollektion.,https://www.otto.com/,W&V
Adidas Werbespot 2013,Adidas,Instagram,2024-09-05,3053480,Manuel Neuer,Fahr in die Zukunft mit dem neuen ID.4 von Volkswagen.,http://www.losekann.de/,Deutscher Mediapreis
Lidl Werbespot 1986,Lidl,Facebook,2025-02-23,1549438,Manuel Neuer,McDonald's – Ich liebe es.,https://www.steckel.com/,Meta Ads Library
Telekom Werbespot 2005,Telekom,TV,2023-05-13,5729285,Lena Meyer-Landrut,Fahr in die Zukunft mit dem neuen ID.4 von Volkswagen.,http://www.mude.de/,W&V
Nike Werbespot 1995,Nike,Instagram,2022-06-15,1435342,Florian David Fitz,"Entdecke die Vielfalt mit Edeka – frisch, regional, genial.",http://kaul.com/,Meta Ads Library
Volkswagen Werbespot 2022,Volkswagen,TikTok,2025-03-30,1378710,Manuel Neuer,Mach dich bereit – mit der neuen Nike Performance-Kollektion.,https://www.kitzmann.de/,Deutscher Mediapreis
Telekom Werbespot 2013,Telekom,TV,2021-10-13,7426270,Florian David Fitz,"Telekom – Erleben, was verbindet.",https://gnatz.com/,W&V
Mercedes-Benz Werbespot 1974,Mercedes-Benz,TikTok,2024-03-09,5801039,Helene Fischer,"Telekom – Erleben, was verbindet.",http://beyer.net/,YouTube Leaderboard
Nike Werbespot 1972,Nike,TikTok,2022-12-24,8850487,Lena Meyer-Landrut,Mach dich bereit – mit der neuen Nike Performance-Kollektion.,https://muelichen.org/,YouTube Leaderboard
Mercedes-Benz Werbespot 1972,Mercedes-Benz,TV,2021-12-02,929088,Florian David Fitz,"Entdecke die Vielfalt mit Edeka – frisch, regional, genial.",https://sontag.org/,Meta Ads Library
Nike Werbespot 1978,Nike,Facebook,2023-06-05,4296905,Elyas M'Barek,Mach dich bereit – mit der neuen Nike Performance-Kollektion.,https://margraf.de/,W&V
Lidl Werbespot 1993,Lidl,YouTube,2021-11-19,7235192,Lena Meyer-Landrut,Fahr in die Zukunft mit dem neuen ID.4 von Volkswagen.,https://poelitz.com/,Meta Ads Library
Telekom Werbespot 2019,Telekom,TikTok,2023-11-27,8403009,,McDonald's – Ich liebe es.,http://girschner.org/,W&V
Lidl Werbespot 1991,Lidl,TV,2021-03-02,7328550,Manuel Neuer,"Entdecke die Vielfalt mit Edeka – frisch, regional, genial.",http://huebel.org/,Deutscher Mediapreis
Lidl Werbespot 2000,Lidl,Instagram,2023-12-02,7212195,Florian David Fitz,Mach es zu deinem Projekt – mit Hornbach.,http://meister.de/,Deutscher Mediapreis
Telekom Werbespot 2011,Telekom,Instagram,2023-12-30,6805314,Helene Fischer,"Entdecke die Vielfalt mit Edeka – frisch, regional, genial.",https://www.steinberg.de/,W&V
Volkswagen Werbespot 1994,Volkswagen,TikTok,2024-08-29,6080880,Lena Meyer-Landrut,Jetzt bei Lidl: Qualität zum besten Preis!,http://www.schmidt.de/,Deutscher Mediapreis
Lidl Werbespot 1972,Lidl,Facebook,2021-05-15,9889620,,"Telekom – Erleben, was verbindet.",http://www.kobelt.de/,YouTube Leaderboard
Telekom Werbespot 1996,Telekom,Instagram,2025-02-13,3727362,Palina Rojinski,Dein Style. Deine Regeln. Adidas Originals.,http://www.mentzel.de/,Meta Ads Library
Lidl Werbespot 1995,Lidl,TikTok,2024-01-27,8912071,Helene Fischer,McDonald's – Ich liebe es.,http://www.kobelt.de/,Meta Ads Library
Adidas Werbespot 1991,Adidas,Instagram,2022-08-31,3973933,Elyas M'Barek,Jetzt bei Lidl: Qualität zum besten Preis!,http://www.warmer.de/,Meta Ads Library
Nike Werbespot 2005,Nike,Facebook,2023-08-03,2574729,Elyas M'Barek,Jetzt bei Lidl: Qualität zum besten Preis!,http://trommler.org/,Meta Ads Library
Saturn Werbespot 2017,Saturn,TV,2024-06-22,9731861,Florian David Fitz,Saturn macht Technik zum Erlebnis!,http://www.briemer.com/,W&V
Adidas Werbespot 2018,Adidas,Facebook,2024-01-30,1155653,Lena Meyer-Landrut,Saturn macht Technik zum Erlebnis!,http://kensy.com/,Deutscher Mediapreis
Nike Werbespot 2007,Nike,Instagram,2024-11-27,952411,Florian David Fitz,Dein Style. Deine Regeln. Adidas Originals.,https://trubin.com/,YouTube Leaderboard
Nike Werbespot 2024,Nike,TV,2023-05-16,640944,Lena Meyer-Landrut,"Entdecke die Vielfalt mit Edeka – frisch, regional, genial.",http://www.etzold.de/,W&V
Nike Werbespot 1971,Nike,YouTube,2023-05-14,9977005,Helene Fischer,McDonald's – Ich liebe es.,https://ehlert.com/,Deutscher Mediapreis
Saturn Werbespot 1974,Saturn,TikTok,2022-12-04,698246,,Saturn macht Technik zum Erlebnis!,https://lehmann.de/,Meta Ads Library
Adidas Werbespot 2009,Adidas,TikTok,2020-12-03,8421547,Lena Meyer-Landrut,Fahr in die Zukunft mit dem neuen ID.4 von Volkswagen.,http://briemer.de/,YouTube Leaderboard
Saturn Werbespot 2001,Saturn,YouTube,2024-09-11,1424808,Palina Rojinski,McDonald's – Ich liebe es.,https://www.segebahn.com/,Meta Ads Library
Edeka Werbespot 2022,Edeka,Facebook,2021-05-23,7382274,Lena Meyer-Landrut,McDonald's – Ich liebe es.,https://www.poelitz.org/,Meta Ads Library
Adidas Werbespot 1981,Adidas,Instagram,2021-09-03,6509771,Joko Winterscheidt,"Telekom – Erleben, was verbindet.",https://www.poelitz.org/,W&V
Hornbach Werbespot 1983,Hornbach,YouTube,2024-12-24,1115817,Palina Rojinski,Dein Style. Deine Regeln. Adidas Originals.,https://www.jaehn.com/,YouTube Leaderboard
McDonald's Werbespot 2004,McDonald's,TV,2021-09-23,4237787,Joko Winterscheidt,Mach es zu deinem Projekt – mit Hornbach.,http://www.schomber.de/,Meta Ads Library
Adidas Werbespot 2008,Adidas,YouTube,2020-08-23,2382774,Florian David Fitz,Dein Style. Deine Regeln. Adidas Originals.,http://www.seifert.org/,W&V
Telekom Werbespot 2014,Telekom,Facebook,2022-02-01,1431349,Florian David Fitz,Mach dich bereit – mit der neuen Nike Performance-Kollektion.,https://www.schuchhardt.org/,Deutscher Mediapreis
Adidas Werbespot 2002,Adidas,Facebook,2022-05-18,1577880,,"Telekom – Erleben, was verbindet.",https://briemer.com/,W&V
Edeka Werbespot 1999,Edeka,Instagram,2023-10-31,3034309,Joko Winterscheidt,Erlebe Luxus auf vier Rädern – Mercedes-Benz.,https://karge.com/,W&V
Saturn Werbespot 1991,Saturn,Facebook,2023-01-05,2317963,,Fahr in die Zukunft mit dem neuen ID.4 von Volkswagen.,https://wieloch.com/,YouTube Leaderboard
Nike Werbespot 1991,Nike,YouTube,2022-05-09,9065850,,McDonald's – Ich liebe es.,https://www.mentzel.com/,YouTube Leaderboard
Adidas Werbespot 1973,Adidas,TikTok,2022-10-06,6330310,Elyas M'Barek,Fahr in die Zukunft mit dem neuen ID.4 von Volkswagen.,https://freudenberger.de/,Meta Ads Library
Volkswagen Werbespot 1982,Volkswagen,TikTok,2021-08-26,7352941,Elyas M'Barek,"Entdecke die Vielfalt mit Edeka – frisch, regional, genial.",https://jaentsch.com/,Deutscher Mediapreis
